"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOIC8E_MPS";1;"MP1584EN-LF-Z";;;
2;"R13,R3,R7,R9,R5,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10k";;;
3;"C5,C8";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
4;"R17,R14,R16,R15";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";4;"100K";;;
5;"RV3,RV1";"Potentiometer_Bourns_3266Y_Vertical";2;"R_Potentiometer";;;
6;"Q3,Q1,Q2,Q4";"TO-220-3_Vertical";4;"IRF540N";;;
7;"R18";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"8.2k";;;
8;"C3";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"0.1uF";;;
9;"R6,R2,R8,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"4.7";;;
10;"C6";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"220pF";;;
11;"D1,D3,D2,D4";"Nexperia_CFP3_SOD-123W";4;"1N4148";;;
12;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Motor 1";;;
13;"L2";"L_Bourns_SRP6060FA";1;"8.2uH";;;
14;"D5,D7";"D_SMA_Handsoldering";2;"SS34";;;
15;"C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"10uF";;;
16;"L1";"L_Radial_D6.0mm_P4.00mm";1;"L";;;
17;"RV2";"Potentiometer_Bourns_TC33X_Vertical";1;"150K";;;
18;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"VCC";;;
19;"U2";"Linear_MSOP-12-16-1EP_3x4mm_P0.5mm";1;"LTC3638";;;
20;"J5";"PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left";1;"5V cutoff";;;
21;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"0.01";;;
22;"C9,C7,C4";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"100nF";;;
23;"C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"1uF";;;
24;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Motor 2";;;
25;"M1";"EGS002";1;"EGS002";;;
26;"J4";"PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left";1;"12V Cutoff";;;
