"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOIC8E_MPS";1;"MP1584EN-LF-Z";;;
2;"U2";"Linear_MSOP-12-16-1EP_3x4mm_P0.5mm";1;"LTC3638";;;
3;"RV2";"Potentiometer_Bourns_TC33X_Vertical";1;"150K";;;
4;"RV1";"Potentiometer_Bourns_3266Y_Vertical";1;"R_Potentiometer";;;
5;"R16,R15,R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"100K";;;
6;"R13,R12,R9,R7,R5,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";6;"10k";;;
7;"R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"196K";;;
8;"R10";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"267K";;;
9;"R8,R6,R4,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";4;"4.7";;;
10;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"0.01";;;
11;"Q4,Q3,Q2,Q1";"TO-220-3_Vertical";4;"IRF540N";;;
12;"M1";"EGS002";1;"EGS002";;;
13;"L2";"L_Radial_D6.0mm_P4.00mm";1;"8.2uH";;;
14;"L1";"L_Radial_D6.0mm_P4.00mm";1;"L";;;
15;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"5V cutoff";;;
16;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"12V Cutoff";;;
17;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Motor 2";;;
18;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Motor 1";;;
19;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"VCC";;;
20;"D7";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"SS34";;;
21;"D5";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"D";;;
22;"D4,D3,D2,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";4;"1N4148";;;
23;"C8,C6";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"220pF";;;
24;"C7";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"100nF";;;
25;"C5";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"22uF";;;
26;"C3";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"0.1uF";;;
27;"C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"10uF";;;
28;"C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"1uF";;;
